,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/10 12:00:00+00,,29.300000,23.700000,,,,32.100000,232
2021/01/10 13:00:00+00,,31.900000,24.200000,,,,37.200000,233
2021/01/10 14:00:00+00,,28.600000,21.900000,,,,44.800000,234
2021/01/10 15:00:00+00,,23.800000,16.300000,,,,50.200000,235
2021/01/10 16:00:00+00,,22.200000,14.900000,,,,47.800000,236
2021/01/10 17:00:00+00,,22.200000,16.700000,,,,37.600000,237
2021/01/10 18:00:00+00,,28.100000,21.500000,,,,17.300000,238
2021/01/10 19:00:00+00,,32.200000,27,,,,15,239
2021/01/10 20:00:00+00,,31.200000,28.300000,,,,13,240
2021/01/10 21:00:00+00,,35.900000,28.100000,,,,9.200000,241
2021/01/10 22:00:00+00,,36,31.700000,,,,10.500000,242
2021/01/10 23:00:00+00,,29.700000,29.200000,,,,10.500000,243
2021/01/11 00:00:00+00,,39.200000,36.300000,,,,7,244
2021/01/11 01:00:00+00,,50.100000,46.600000,,,,8.500000,245
2021/01/11 02:00:00+00,,47.800000,44,,,,5.900000,246
2021/01/11 03:00:00+00,,48.500000,45.500000,,,,7,247
2021/01/11 04:00:00+00,,44.800000,43.800000,,,,8,248
2021/01/11 05:00:00+00,,38.500000,38.300000,,,,7.900000,249
2021/01/11 06:00:00+00,,35,33.700000,,,,5.700000,250
2021/01/11 07:00:00+00,,32.200000,29.200000,,,,3.900000,251
2021/01/11 08:00:00+00,,35.300000,31.700000,,,,3.200000,252
2021/01/11 09:00:00+00,,43.800000,35.800000,,,,3.100000,253
2021/01/11 10:00:00+00,,48.300000,34,,,,4.300000,254
2021/01/11 11:00:00+00,,41,25.400000,,,,22.300000,255
2021/01/11 12:00:00+00,,27.800000,18.600000,,,,26.800000,256
2021/01/11 13:00:00+00,,26.400000,19.700000,,,,23.700000,257
2021/01/11 14:00:00+00,,30.800000,20.800000,,,,16.600000,258
2021/01/11 15:00:00+00,,31.300000,19.900000,,,,19.700000,259
2021/01/11 16:00:00+00,,29,19.100000,,,,20,260
2021/01/11 17:00:00+00,,26.200000,16.100000,,,,19.400000,261
2021/01/11 18:00:00+00,,24.500000,19.100000,,,,19.500000,262
2021/01/11 19:00:00+00,,24.700000,19.900000,,,,25.200000,263
2021/01/11 20:00:00+00,,22.900000,19.500000,,,,29.900000,264
2021/01/11 21:00:00+00,,27.700000,20.400000,,,,32.300000,265
2021/01/11 22:00:00+00,,28.500000,22,,,,33.600000,266
2021/01/11 23:00:00+00,,25.400000,21.900000,,,,39.300000,267
2021/01/12 00:00:00+00,,23.500000,19.800000,,,,42,268
2021/01/12 01:00:00+00,,21.800000,18.600000,,,,43.300000,269
2021/01/12 02:00:00+00,,21.600000,16.900000,,,,45.200000,270
2021/01/12 03:00:00+00,,22.900000,15.900000,,,,48.500000,271
2021/01/12 04:00:00+00,,19.400000,14.100000,,,,49.400000,272
2021/01/12 05:00:00+00,,16.300000,11.400000,,,,50.800000,273
2021/01/12 06:00:00+00,,13.200000,10.900000,,,,46.700000,274
2021/01/12 07:00:00+00,,13.600000,11.200000,,,,41.600000,275
2021/01/12 08:00:00+00,,12.300000,8.800000,,,,38.100000,276
2021/01/12 09:00:00+00,,12.800000,6.700000,,,,35.900000,277
2021/01/12 10:00:00+00,,16.100000,7.200000,,,,38.200000,278
2021/01/12 11:00:00+00,,18.600000,6.700000,,,,41.100000,279
2021/01/12 12:00:00+00,,13.400000,6.700000,,,,45.700000,280
2021/01/12 13:00:00+00,,8.200000,7.400000,,,,47,281
